label,cutUpHeight,diameterToe,flueDepth,frequency,acousticIntensity,isBourdon
cutUpHeight,1.0,0.009989990651118075,0.772050870534491,-0.8959358712484057,-0.35667484911778136,-0.34804025523771076
diameterToe,0.009989990651118075,1.0,0.06506799010062742,-0.0590738334893374,-0.000550011422812398,0.18241886254637266
flueDepth,0.772050870534491,0.06506799010062742,1.0,-0.8932961627558896,-0.31537828622310116,-0.13495105373993202
frequency,-0.8959358712484057,-0.0590738334893374,-0.8932961627558896,1.0,0.4282263467019688,0.24868537142779787
acousticIntensity,-0.35667484911778136,-0.000550011422812398,-0.31537828622310116,0.4282263467019688,1.0,-0.1573366082888618
isBourdon,-0.34804025523771076,0.18241886254637266,-0.13495105373993202,0.24868537142779787,-0.1573366082888618,1.0
